data,y
2023-08-23,28354
2023-08-24,28174
2023-08-25,28306
2023-08-28,28649
2023-08-29,28977
2023-08-30,29018
2023-08-31,28914
2023-09-01,28727
2023-09-04,28727
2023-09-05,28708
2023-09-06,28300
2023-09-07,28200
2023-09-08,28299
2023-09-11,28590
2023-09-12,28643
2023-09-13,28543
2023-09-14,28941
2023-09-15,28942
2023-09-18,28840
2023-09-19,29006
2023-09-20,29512
2023-09-21,28992
2023-09-22,28834
2023-09-25,28649
2023-09-26,28362
2023-09-27,28263
2023-09-28,28406
2023-09-29,28478
2023-10-02,28090
2023-10-03,27697
2023-10-04,27632
2023-10-05,27676
2023-10-06,27982
2023-10-09,27871
2023-10-10,28491
2023-10-11,28598
2023-10-12,28656
2023-10-13,28391
2023-10-16,28548
2023-10-17,28532
2023-10-18,28305
2023-10-19,27922
2023-10-20,27516
2023-10-23,27715
2023-10-24,27695
2023-10-25,27568
2023-10-26,27627
2023-10-27,27432
2023-10-30,27433
2023-10-31,27845
2023-11-01,28067
2023-11-02,28558
2023-11-03,28760
2023-11-06,28683
2023-11-07,28482
2023-11-08,28523
2023-11-09,28724
2023-11-10,28579
2023-11-13,28966
2023-11-14,29407
2023-11-15,29541
2023-11-16,29329
2023-11-17,29532
2023-11-20,29793
2023-11-21,29444
2023-11-22,29424
2023-11-23,29496
2023-11-24,29683
2023-11-27,29599
2023-11-28,29616
2023-11-29,29915
2023-11-30,29978
2023-12-01,30153
2023-12-04,30168
2023-12-05,30324
2023-12-06,30566
2023-12-07,30356
2023-12-08,30638
2023-12-11,30648
2023-12-12,30589
2023-12-13,30546
2023-12-14,30606
2023-12-15,30598
2023-12-18,29871
2023-12-19,29989
2023-12-20,30000
2023-12-21,29888
2023-12-22,29950
2023-12-27,30024
2023-12-28,29922
2023-12-29,29944
2024-01-02,30087
2024-01-03,29659
2024-01-04,29950
2024-01-05,29986
2024-01-08,30124
2024-01-09,29966
2024-01-10,29990
2024-01-11,29779
2024-01-12,29980
2024-01-15,29847
2024-01-16,29836
2024-01-17,29593
2024-01-18,29848
2024-01-19,29778
2024-01-22,29787
2024-01-23,29657
2024-01-24,29921
2024-01-25,29756
2024-01-26,29964
2024-01-29,29801
2024-01-30,30207
2024-01-31,30346
2024-02-01,30246
2024-02-02,30296
2024-02-05,30499
2024-02-06,30676
2024-02-07,30529
2024-02-08,30600
2024-02-09,30677
2024-02-12,30961
2024-02-13,30659
2024-02-14,30839
2024-02-15,31173
2024-02-16,31248
2024-02-19,31180
2024-02-20,31219
2024-02-21,31529
2024-02-22,31882
2024-02-23,32200
2024-02-26,32080
2024-02-27,32204
2024-02-28,32118
2024-02-29,32058
2024-03-01,32399
2024-03-04,32382
2024-03-05,32612
2024-03-06,32846
2024-03-07,32876
2024-03-08,32867
2024-03-11,32806
2024-03-12,33235
2024-03-13,33392
2024-03-14,33276
2024-03-15,33422
2024-03-18,33603
2024-03-19,33920
2024-03-20,33944
2024-03-21,33984
2024-03-22,33972
2024-03-25,34258
2024-03-26,34308
2024-03-27,34359
2024-03-28,34359
2024-04-02,33913
2024-04-03,34068
2024-04-04,34018
2024-04-05,33557
2024-04-08,33867
2024-04-09,33482
2024-04-10,33572
2024-04-11,33227
2024-04-12,33274
2024-04-15,33463
2024-04-16,32886
2024-04-17,33114
2024-04-18,33346
2024-04-19,33390
2024-04-22,33655
2024-04-23,34299
2024-04-24,34202
2024-04-25,33848
2024-04-26,34167
2024-04-29,34200
2024-04-30,33653
2024-05-02,33624
2024-05-03,33516
2024-05-06,33876
2024-05-07,34128
2024-05-08,34031
2024-05-09,34207
2024-05-10,34527
2024-05-13,34676
2024-05-14,35009
2024-05-15,35223
2024-05-16,35267
2024-05-17,35250
2024-05-20,35126
2024-05-21,34896
2024-05-22,34750
2024-05-23,34748
2024-05-24,34764
2024-05-27,35032
2024-05-28,34923
2024-05-29,34421
2024-05-30,34711
2024-05-31,34748
2024-06-03,34751
2024-06-04,34348
2024-06-05,34579
2024-06-06,34894
2024-06-07,34716
2024-06-10,34584
2024-06-11,33916
2024-06-12,34399
2024-06-13,33635
2024-06-14,32686
2024-06-17,32923
2024-06-18,33326
2024-06-19,33228
2024-06-20,33681
2024-06-21,33422
2024-06-24,34076
2024-06-25,33948
2024-06-26,33773
2024-06-27,33406
2024-06-28,33366
2024-07-01,33927
2024-07-02,33679
2024-07-03,34048
2024-07-04,34295
2024-07-05,34172
2024-07-08,34229
2024-07-09,34042
2024-07-10,34485
2024-07-11,34489
2024-07-12,34749
2024-07-15,34537
2024-07-16,34522
2024-07-17,34529
2024-07-18,34671
2024-07-19,34344
2024-07-22,34849
2024-07-23,34865
2024-07-24,34690
2024-07-25,33975
2024-07-26,34015
2024-07-29,33839
2024-07-30,34109
2024-07-31,33955
2024-08-01,33035
2024-08-02,32180
2024-08-05,31444
2024-08-06,31256
2024-08-07,31978
2024-08-08,31882
2024-08-09,31921
2024-08-12,32065
2024-08-13,32137
2024-08-14,32458
2024-08-16,33168
2024-08-19,33384
2024-08-20,33194
2024-08-21,33428
2024-08-22,33412
2024-08-23,33754
2024-08-26,33704
2024-08-27,33874
2024-08-28,33977
2024-08-29,34276
2024-08-30,34456
2024-09-02,34397
2024-09-03,33936
2024-09-04,33748
2024-09-05,33739
2024-09-06,33342
2024-09-09,33635
2024-09-10,33252
2024-09-11,33213
2024-09-12,33480
2024-09-13,33593
2024-09-16,33590
2024-09-17,33802
2024-09-18,33669
2024-09-19,34048
2024-09-20,33851
2024-09-23,33622
2024-09-24,33821
2024-09-25,33775
2024-09-26,34347
2024-09-27,34665
